Date,DateKey,Year,Quarter,Month,Day,MonthInYear,MonthInYearSort,DayOfWeek,DayOfWeekSort
5/27/2022,20220527,2022,2022-Q2,2022-05,27,May,5,Friday,6
5/28/2022,20220528,2022,2022-Q2,2022-05,28,May,5,Saturday,7
5/29/2022,20220529,2022,2022-Q2,2022-05,29,May,5,Sunday,1
5/30/2022,20220530,2022,2022-Q2,2022-05,30,May,5,Monday,2
5/31/2022,20220531,2022,2022-Q2,2022-05,31,May,5,Tuesday,3
6/1/2022,20220601,2022,2022-Q2,2022-06,1,June,6,Wednesday,4
6/2/2022,20220602,2022,2022-Q2,2022-06,2,June,6,Thursday,5
6/3/2022,20220603,2022,2022-Q2,2022-06,3,June,6,Friday,6
6/4/2022,20220604,2022,2022-Q2,2022-06,4,June,6,Saturday,7
6/5/2022,20220605,2022,2022-Q2,2022-06,5,June,6,Sunday,1
6/6/2022,20220606,2022,2022-Q2,2022-06,6,June,6,Monday,2
6/7/2022,20220607,2022,2022-Q2,2022-06,7,June,6,Tuesday,3
6/8/2022,20220608,2022,2022-Q2,2022-06,8,June,6,Wednesday,4
6/9/2022,20220609,2022,2022-Q2,2022-06,9,June,6,Thursday,5
6/10/2022,20220610,2022,2022-Q2,2022-06,10,June,6,Friday,6
6/11/2022,20220611,2022,2022-Q2,2022-06,11,June,6,Saturday,7
6/12/2022,20220612,2022,2022-Q2,2022-06,12,June,6,Sunday,1
6/13/2022,20220613,2022,2022-Q2,2022-06,13,June,6,Monday,2
6/14/2022,20220614,2022,2022-Q2,2022-06,14,June,6,Tuesday,3
6/15/2022,20220615,2022,2022-Q2,2022-06,15,June,6,Wednesday,4
6/16/2022,20220616,2022,2022-Q2,2022-06,16,June,6,Thursday,5
6/17/2022,20220617,2022,2022-Q2,2022-06,17,June,6,Friday,6
6/18/2022,20220618,2022,2022-Q2,2022-06,18,June,6,Saturday,7
6/19/2022,20220619,2022,2022-Q2,2022-06,19,June,6,Sunday,1
6/20/2022,20220620,2022,2022-Q2,2022-06,20,June,6,Monday,2
6/21/2022,20220621,2022,2022-Q2,2022-06,21,June,6,Tuesday,3
6/22/2022,20220622,2022,2022-Q2,2022-06,22,June,6,Wednesday,4
6/23/2022,20220623,2022,2022-Q2,2022-06,23,June,6,Thursday,5
6/24/2022,20220624,2022,2022-Q2,2022-06,24,June,6,Friday,6
6/25/2022,20220625,2022,2022-Q2,2022-06,25,June,6,Saturday,7
6/26/2022,20220626,2022,2022-Q2,2022-06,26,June,6,Sunday,1
6/27/2022,20220627,2022,2022-Q2,2022-06,27,June,6,Monday,2
6/28/2022,20220628,2022,2022-Q2,2022-06,28,June,6,Tuesday,3
6/29/2022,20220629,2022,2022-Q2,2022-06,29,June,6,Wednesday,4
6/30/2022,20220630,2022,2022-Q2,2022-06,30,June,6,Thursday,5
7/1/2022,20220701,2022,2022-Q3,2022-07,1,July,7,Friday,6
7/2/2022,20220702,2022,2022-Q3,2022-07,2,July,7,Saturday,7
7/3/2022,20220703,2022,2022-Q3,2022-07,3,July,7,Sunday,1
7/4/2022,20220704,2022,2022-Q3,2022-07,4,July,7,Monday,2
7/5/2022,20220705,2022,2022-Q3,2022-07,5,July,7,Tuesday,3
7/6/2022,20220706,2022,2022-Q3,2022-07,6,July,7,Wednesday,4
7/7/2022,20220707,2022,2022-Q3,2022-07,7,July,7,Thursday,5
7/8/2022,20220708,2022,2022-Q3,2022-07,8,July,7,Friday,6
7/9/2022,20220709,2022,2022-Q3,2022-07,9,July,7,Saturday,7
7/10/2022,20220710,2022,2022-Q3,2022-07,10,July,7,Sunday,1
7/11/2022,20220711,2022,2022-Q3,2022-07,11,July,7,Monday,2
7/12/2022,20220712,2022,2022-Q3,2022-07,12,July,7,Tuesday,3
7/13/2022,20220713,2022,2022-Q3,2022-07,13,July,7,Wednesday,4
7/14/2022,20220714,2022,2022-Q3,2022-07,14,July,7,Thursday,5
7/15/2022,20220715,2022,2022-Q3,2022-07,15,July,7,Friday,6
7/16/2022,20220716,2022,2022-Q3,2022-07,16,July,7,Saturday,7
7/17/2022,20220717,2022,2022-Q3,2022-07,17,July,7,Sunday,1
7/18/2022,20220718,2022,2022-Q3,2022-07,18,July,7,Monday,2
7/19/2022,20220719,2022,2022-Q3,2022-07,19,July,7,Tuesday,3
7/20/2022,20220720,2022,2022-Q3,2022-07,20,July,7,Wednesday,4
7/21/2022,20220721,2022,2022-Q3,2022-07,21,July,7,Thursday,5
7/22/2022,20220722,2022,2022-Q3,2022-07,22,July,7,Friday,6
7/23/2022,20220723,2022,2022-Q3,2022-07,23,July,7,Saturday,7
7/24/2022,20220724,2022,2022-Q3,2022-07,24,July,7,Sunday,1
7/25/2022,20220725,2022,2022-Q3,2022-07,25,July,7,Monday,2
7/26/2022,20220726,2022,2022-Q3,2022-07,26,July,7,Tuesday,3
7/27/2022,20220727,2022,2022-Q3,2022-07,27,July,7,Wednesday,4
7/28/2022,20220728,2022,2022-Q3,2022-07,28,July,7,Thursday,5
7/29/2022,20220729,2022,2022-Q3,2022-07,29,July,7,Friday,6
7/30/2022,20220730,2022,2022-Q3,2022-07,30,July,7,Saturday,7
7/31/2022,20220731,2022,2022-Q3,2022-07,31,July,7,Sunday,1
8/1/2022,20220801,2022,2022-Q3,2022-08,1,August,8,Monday,2
8/2/2022,20220802,2022,2022-Q3,2022-08,2,August,8,Tuesday,3
8/3/2022,20220803,2022,2022-Q3,2022-08,3,August,8,Wednesday,4
8/4/2022,20220804,2022,2022-Q3,2022-08,4,August,8,Thursday,5
8/5/2022,20220805,2022,2022-Q3,2022-08,5,August,8,Friday,6
8/6/2022,20220806,2022,2022-Q3,2022-08,6,August,8,Saturday,7
8/7/2022,20220807,2022,2022-Q3,2022-08,7,August,8,Sunday,1
8/8/2022,20220808,2022,2022-Q3,2022-08,8,August,8,Monday,2
8/9/2022,20220809,2022,2022-Q3,2022-08,9,August,8,Tuesday,3
8/10/2022,20220810,2022,2022-Q3,2022-08,10,August,8,Wednesday,4
8/11/2022,20220811,2022,2022-Q3,2022-08,11,August,8,Thursday,5
8/12/2022,20220812,2022,2022-Q3,2022-08,12,August,8,Friday,6
8/13/2022,20220813,2022,2022-Q3,2022-08,13,August,8,Saturday,7
8/14/2022,20220814,2022,2022-Q3,2022-08,14,August,8,Sunday,1
8/15/2022,20220815,2022,2022-Q3,2022-08,15,August,8,Monday,2
8/16/2022,20220816,2022,2022-Q3,2022-08,16,August,8,Tuesday,3
8/17/2022,20220817,2022,2022-Q3,2022-08,17,August,8,Wednesday,4
8/18/2022,20220818,2022,2022-Q3,2022-08,18,August,8,Thursday,5
8/19/2022,20220819,2022,2022-Q3,2022-08,19,August,8,Friday,6
8/20/2022,20220820,2022,2022-Q3,2022-08,20,August,8,Saturday,7
8/21/2022,20220821,2022,2022-Q3,2022-08,21,August,8,Sunday,1
8/22/2022,20220822,2022,2022-Q3,2022-08,22,August,8,Monday,2
8/23/2022,20220823,2022,2022-Q3,2022-08,23,August,8,Tuesday,3
8/24/2022,20220824,2022,2022-Q3,2022-08,24,August,8,Wednesday,4
8/25/2022,20220825,2022,2022-Q3,2022-08,25,August,8,Thursday,5
8/26/2022,20220826,2022,2022-Q3,2022-08,26,August,8,Friday,6
8/27/2022,20220827,2022,2022-Q3,2022-08,27,August,8,Saturday,7
8/28/2022,20220828,2022,2022-Q3,2022-08,28,August,8,Sunday,1
8/29/2022,20220829,2022,2022-Q3,2022-08,29,August,8,Monday,2
8/30/2022,20220830,2022,2022-Q3,2022-08,30,August,8,Tuesday,3
8/31/2022,20220831,2022,2022-Q3,2022-08,31,August,8,Wednesday,4
9/1/2022,20220901,2022,2022-Q3,2022-09,1,September,9,Thursday,5
9/2/2022,20220902,2022,2022-Q3,2022-09,2,September,9,Friday,6
9/3/2022,20220903,2022,2022-Q3,2022-09,3,September,9,Saturday,7
9/4/2022,20220904,2022,2022-Q3,2022-09,4,September,9,Sunday,1
9/5/2022,20220905,2022,2022-Q3,2022-09,5,September,9,Monday,2
9/6/2022,20220906,2022,2022-Q3,2022-09,6,September,9,Tuesday,3
9/7/2022,20220907,2022,2022-Q3,2022-09,7,September,9,Wednesday,4
9/8/2022,20220908,2022,2022-Q3,2022-09,8,September,9,Thursday,5
9/9/2022,20220909,2022,2022-Q3,2022-09,9,September,9,Friday,6
9/10/2022,20220910,2022,2022-Q3,2022-09,10,September,9,Saturday,7
9/11/2022,20220911,2022,2022-Q3,2022-09,11,September,9,Sunday,1
9/12/2022,20220912,2022,2022-Q3,2022-09,12,September,9,Monday,2
9/13/2022,20220913,2022,2022-Q3,2022-09,13,September,9,Tuesday,3
9/14/2022,20220914,2022,2022-Q3,2022-09,14,September,9,Wednesday,4
9/15/2022,20220915,2022,2022-Q3,2022-09,15,September,9,Thursday,5
9/16/2022,20220916,2022,2022-Q3,2022-09,16,September,9,Friday,6
9/17/2022,20220917,2022,2022-Q3,2022-09,17,September,9,Saturday,7
9/18/2022,20220918,2022,2022-Q3,2022-09,18,September,9,Sunday,1
9/19/2022,20220919,2022,2022-Q3,2022-09,19,September,9,Monday,2
9/20/2022,20220920,2022,2022-Q3,2022-09,20,September,9,Tuesday,3
9/21/2022,20220921,2022,2022-Q3,2022-09,21,September,9,Wednesday,4
9/22/2022,20220922,2022,2022-Q3,2022-09,22,September,9,Thursday,5
9/23/2022,20220923,2022,2022-Q3,2022-09,23,September,9,Friday,6
9/24/2022,20220924,2022,2022-Q3,2022-09,24,September,9,Saturday,7
9/25/2022,20220925,2022,2022-Q3,2022-09,25,September,9,Sunday,1
9/26/2022,20220926,2022,2022-Q3,2022-09,26,September,9,Monday,2
9/27/2022,20220927,2022,2022-Q3,2022-09,27,September,9,Tuesday,3
9/28/2022,20220928,2022,2022-Q3,2022-09,28,September,9,Wednesday,4
9/29/2022,20220929,2022,2022-Q3,2022-09,29,September,9,Thursday,5
9/30/2022,20220930,2022,2022-Q3,2022-09,30,September,9,Friday,6
10/1/2022,20221001,2022,2022-Q4,2022-10,1,October,10,Saturday,7
10/2/2022,20221002,2022,2022-Q4,2022-10,2,October,10,Sunday,1
10/3/2022,20221003,2022,2022-Q4,2022-10,3,October,10,Monday,2
10/4/2022,20221004,2022,2022-Q4,2022-10,4,October,10,Tuesday,3
10/5/2022,20221005,2022,2022-Q4,2022-10,5,October,10,Wednesday,4
10/6/2022,20221006,2022,2022-Q4,2022-10,6,October,10,Thursday,5
10/7/2022,20221007,2022,2022-Q4,2022-10,7,October,10,Friday,6
10/8/2022,20221008,2022,2022-Q4,2022-10,8,October,10,Saturday,7
10/9/2022,20221009,2022,2022-Q4,2022-10,9,October,10,Sunday,1
10/10/2022,20221010,2022,2022-Q4,2022-10,10,October,10,Monday,2
10/11/2022,20221011,2022,2022-Q4,2022-10,11,October,10,Tuesday,3
10/12/2022,20221012,2022,2022-Q4,2022-10,12,October,10,Wednesday,4
10/13/2022,20221013,2022,2022-Q4,2022-10,13,October,10,Thursday,5
10/14/2022,20221014,2022,2022-Q4,2022-10,14,October,10,Friday,6
10/15/2022,20221015,2022,2022-Q4,2022-10,15,October,10,Saturday,7
10/16/2022,20221016,2022,2022-Q4,2022-10,16,October,10,Sunday,1
10/17/2022,20221017,2022,2022-Q4,2022-10,17,October,10,Monday,2
10/18/2022,20221018,2022,2022-Q4,2022-10,18,October,10,Tuesday,3
10/19/2022,20221019,2022,2022-Q4,2022-10,19,October,10,Wednesday,4
10/20/2022,20221020,2022,2022-Q4,2022-10,20,October,10,Thursday,5
10/21/2022,20221021,2022,2022-Q4,2022-10,21,October,10,Friday,6
10/22/2022,20221022,2022,2022-Q4,2022-10,22,October,10,Saturday,7
10/23/2022,20221023,2022,2022-Q4,2022-10,23,October,10,Sunday,1
10/24/2022,20221024,2022,2022-Q4,2022-10,24,October,10,Monday,2
10/25/2022,20221025,2022,2022-Q4,2022-10,25,October,10,Tuesday,3
10/26/2022,20221026,2022,2022-Q4,2022-10,26,October,10,Wednesday,4
10/27/2022,20221027,2022,2022-Q4,2022-10,27,October,10,Thursday,5
10/28/2022,20221028,2022,2022-Q4,2022-10,28,October,10,Friday,6
10/29/2022,20221029,2022,2022-Q4,2022-10,29,October,10,Saturday,7
10/30/2022,20221030,2022,2022-Q4,2022-10,30,October,10,Sunday,1
10/31/2022,20221031,2022,2022-Q4,2022-10,31,October,10,Monday,2
11/1/2022,20221101,2022,2022-Q4,2022-11,1,November,11,Tuesday,3
11/2/2022,20221102,2022,2022-Q4,2022-11,2,November,11,Wednesday,4
11/3/2022,20221103,2022,2022-Q4,2022-11,3,November,11,Thursday,5
11/4/2022,20221104,2022,2022-Q4,2022-11,4,November,11,Friday,6
11/5/2022,20221105,2022,2022-Q4,2022-11,5,November,11,Saturday,7
11/6/2022,20221106,2022,2022-Q4,2022-11,6,November,11,Sunday,1
11/7/2022,20221107,2022,2022-Q4,2022-11,7,November,11,Monday,2
11/8/2022,20221108,2022,2022-Q4,2022-11,8,November,11,Tuesday,3
11/9/2022,20221109,2022,2022-Q4,2022-11,9,November,11,Wednesday,4
11/10/2022,20221110,2022,2022-Q4,2022-11,10,November,11,Thursday,5
11/11/2022,20221111,2022,2022-Q4,2022-11,11,November,11,Friday,6
11/12/2022,20221112,2022,2022-Q4,2022-11,12,November,11,Saturday,7
11/13/2022,20221113,2022,2022-Q4,2022-11,13,November,11,Sunday,1
11/14/2022,20221114,2022,2022-Q4,2022-11,14,November,11,Monday,2
11/15/2022,20221115,2022,2022-Q4,2022-11,15,November,11,Tuesday,3
11/16/2022,20221116,2022,2022-Q4,2022-11,16,November,11,Wednesday,4
11/17/2022,20221117,2022,2022-Q4,2022-11,17,November,11,Thursday,5
11/18/2022,20221118,2022,2022-Q4,2022-11,18,November,11,Friday,6
11/19/2022,20221119,2022,2022-Q4,2022-11,19,November,11,Saturday,7
11/20/2022,20221120,2022,2022-Q4,2022-11,20,November,11,Sunday,1
11/21/2022,20221121,2022,2022-Q4,2022-11,21,November,11,Monday,2
11/22/2022,20221122,2022,2022-Q4,2022-11,22,November,11,Tuesday,3
11/23/2022,20221123,2022,2022-Q4,2022-11,23,November,11,Wednesday,4
11/24/2022,20221124,2022,2022-Q4,2022-11,24,November,11,Thursday,5
11/25/2022,20221125,2022,2022-Q4,2022-11,25,November,11,Friday,6
11/26/2022,20221126,2022,2022-Q4,2022-11,26,November,11,Saturday,7
11/27/2022,20221127,2022,2022-Q4,2022-11,27,November,11,Sunday,1
11/28/2022,20221128,2022,2022-Q4,2022-11,28,November,11,Monday,2
11/29/2022,20221129,2022,2022-Q4,2022-11,29,November,11,Tuesday,3
11/30/2022,20221130,2022,2022-Q4,2022-11,30,November,11,Wednesday,4
12/1/2022,20221201,2022,2022-Q4,2022-12,1,December,12,Thursday,5
12/2/2022,20221202,2022,2022-Q4,2022-12,2,December,12,Friday,6
12/3/2022,20221203,2022,2022-Q4,2022-12,3,December,12,Saturday,7
12/4/2022,20221204,2022,2022-Q4,2022-12,4,December,12,Sunday,1
12/5/2022,20221205,2022,2022-Q4,2022-12,5,December,12,Monday,2
12/6/2022,20221206,2022,2022-Q4,2022-12,6,December,12,Tuesday,3
12/7/2022,20221207,2022,2022-Q4,2022-12,7,December,12,Wednesday,4
12/8/2022,20221208,2022,2022-Q4,2022-12,8,December,12,Thursday,5
12/9/2022,20221209,2022,2022-Q4,2022-12,9,December,12,Friday,6
12/10/2022,20221210,2022,2022-Q4,2022-12,10,December,12,Saturday,7
12/11/2022,20221211,2022,2022-Q4,2022-12,11,December,12,Sunday,1
12/12/2022,20221212,2022,2022-Q4,2022-12,12,December,12,Monday,2
12/13/2022,20221213,2022,2022-Q4,2022-12,13,December,12,Tuesday,3
12/14/2022,20221214,2022,2022-Q4,2022-12,14,December,12,Wednesday,4
12/15/2022,20221215,2022,2022-Q4,2022-12,15,December,12,Thursday,5
12/16/2022,20221216,2022,2022-Q4,2022-12,16,December,12,Friday,6
12/17/2022,20221217,2022,2022-Q4,2022-12,17,December,12,Saturday,7
12/18/2022,20221218,2022,2022-Q4,2022-12,18,December,12,Sunday,1
12/19/2022,20221219,2022,2022-Q4,2022-12,19,December,12,Monday,2
12/20/2022,20221220,2022,2022-Q4,2022-12,20,December,12,Tuesday,3
12/21/2022,20221221,2022,2022-Q4,2022-12,21,December,12,Wednesday,4
12/22/2022,20221222,2022,2022-Q4,2022-12,22,December,12,Thursday,5
12/23/2022,20221223,2022,2022-Q4,2022-12,23,December,12,Friday,6
12/24/2022,20221224,2022,2022-Q4,2022-12,24,December,12,Saturday,7
12/25/2022,20221225,2022,2022-Q4,2022-12,25,December,12,Sunday,1
12/26/2022,20221226,2022,2022-Q4,2022-12,26,December,12,Monday,2
12/27/2022,20221227,2022,2022-Q4,2022-12,27,December,12,Tuesday,3
12/28/2022,20221228,2022,2022-Q4,2022-12,28,December,12,Wednesday,4
12/29/2022,20221229,2022,2022-Q4,2022-12,29,December,12,Thursday,5
12/30/2022,20221230,2022,2022-Q4,2022-12,30,December,12,Friday,6
12/31/2022,20221231,2022,2022-Q4,2022-12,31,December,12,Saturday,7
1/1/2023,20230101,2023,2023-Q1,2023-01,1,January,1,Sunday,1
1/2/2023,20230102,2023,2023-Q1,2023-01,2,January,1,Monday,2
1/3/2023,20230103,2023,2023-Q1,2023-01,3,January,1,Tuesday,3
1/4/2023,20230104,2023,2023-Q1,2023-01,4,January,1,Wednesday,4
1/5/2023,20230105,2023,2023-Q1,2023-01,5,January,1,Thursday,5
1/6/2023,20230106,2023,2023-Q1,2023-01,6,January,1,Friday,6
1/7/2023,20230107,2023,2023-Q1,2023-01,7,January,1,Saturday,7
1/8/2023,20230108,2023,2023-Q1,2023-01,8,January,1,Sunday,1
1/9/2023,20230109,2023,2023-Q1,2023-01,9,January,1,Monday,2
1/10/2023,20230110,2023,2023-Q1,2023-01,10,January,1,Tuesday,3
1/11/2023,20230111,2023,2023-Q1,2023-01,11,January,1,Wednesday,4
1/12/2023,20230112,2023,2023-Q1,2023-01,12,January,1,Thursday,5
1/13/2023,20230113,2023,2023-Q1,2023-01,13,January,1,Friday,6
1/14/2023,20230114,2023,2023-Q1,2023-01,14,January,1,Saturday,7
1/15/2023,20230115,2023,2023-Q1,2023-01,15,January,1,Sunday,1
1/16/2023,20230116,2023,2023-Q1,2023-01,16,January,1,Monday,2
1/17/2023,20230117,2023,2023-Q1,2023-01,17,January,1,Tuesday,3
1/18/2023,20230118,2023,2023-Q1,2023-01,18,January,1,Wednesday,4
1/19/2023,20230119,2023,2023-Q1,2023-01,19,January,1,Thursday,5
1/20/2023,20230120,2023,2023-Q1,2023-01,20,January,1,Friday,6
1/21/2023,20230121,2023,2023-Q1,2023-01,21,January,1,Saturday,7
1/22/2023,20230122,2023,2023-Q1,2023-01,22,January,1,Sunday,1
1/23/2023,20230123,2023,2023-Q1,2023-01,23,January,1,Monday,2
1/24/2023,20230124,2023,2023-Q1,2023-01,24,January,1,Tuesday,3
1/25/2023,20230125,2023,2023-Q1,2023-01,25,January,1,Wednesday,4
1/26/2023,20230126,2023,2023-Q1,2023-01,26,January,1,Thursday,5
1/27/2023,20230127,2023,2023-Q1,2023-01,27,January,1,Friday,6
1/28/2023,20230128,2023,2023-Q1,2023-01,28,January,1,Saturday,7
1/29/2023,20230129,2023,2023-Q1,2023-01,29,January,1,Sunday,1
1/30/2023,20230130,2023,2023-Q1,2023-01,30,January,1,Monday,2
1/31/2023,20230131,2023,2023-Q1,2023-01,31,January,1,Tuesday,3
2/1/2023,20230201,2023,2023-Q1,2023-02,1,February,2,Wednesday,4
2/2/2023,20230202,2023,2023-Q1,2023-02,2,February,2,Thursday,5
2/3/2023,20230203,2023,2023-Q1,2023-02,3,February,2,Friday,6
2/4/2023,20230204,2023,2023-Q1,2023-02,4,February,2,Saturday,7
2/5/2023,20230205,2023,2023-Q1,2023-02,5,February,2,Sunday,1
2/6/2023,20230206,2023,2023-Q1,2023-02,6,February,2,Monday,2
2/7/2023,20230207,2023,2023-Q1,2023-02,7,February,2,Tuesday,3
2/8/2023,20230208,2023,2023-Q1,2023-02,8,February,2,Wednesday,4
2/9/2023,20230209,2023,2023-Q1,2023-02,9,February,2,Thursday,5
2/10/2023,20230210,2023,2023-Q1,2023-02,10,February,2,Friday,6
2/11/2023,20230211,2023,2023-Q1,2023-02,11,February,2,Saturday,7
2/12/2023,20230212,2023,2023-Q1,2023-02,12,February,2,Sunday,1
2/13/2023,20230213,2023,2023-Q1,2023-02,13,February,2,Monday,2
2/14/2023,20230214,2023,2023-Q1,2023-02,14,February,2,Tuesday,3
2/15/2023,20230215,2023,2023-Q1,2023-02,15,February,2,Wednesday,4
2/16/2023,20230216,2023,2023-Q1,2023-02,16,February,2,Thursday,5
2/17/2023,20230217,2023,2023-Q1,2023-02,17,February,2,Friday,6
2/18/2023,20230218,2023,2023-Q1,2023-02,18,February,2,Saturday,7
2/19/2023,20230219,2023,2023-Q1,2023-02,19,February,2,Sunday,1
2/20/2023,20230220,2023,2023-Q1,2023-02,20,February,2,Monday,2
2/21/2023,20230221,2023,2023-Q1,2023-02,21,February,2,Tuesday,3
2/22/2023,20230222,2023,2023-Q1,2023-02,22,February,2,Wednesday,4
2/23/2023,20230223,2023,2023-Q1,2023-02,23,February,2,Thursday,5
2/24/2023,20230224,2023,2023-Q1,2023-02,24,February,2,Friday,6
2/25/2023,20230225,2023,2023-Q1,2023-02,25,February,2,Saturday,7
2/26/2023,20230226,2023,2023-Q1,2023-02,26,February,2,Sunday,1
2/27/2023,20230227,2023,2023-Q1,2023-02,27,February,2,Monday,2
2/28/2023,20230228,2023,2023-Q1,2023-02,28,February,2,Tuesday,3
3/1/2023,20230301,2023,2023-Q1,2023-03,1,March,3,Wednesday,4
3/2/2023,20230302,2023,2023-Q1,2023-03,2,March,3,Thursday,5
3/3/2023,20230303,2023,2023-Q1,2023-03,3,March,3,Friday,6
3/4/2023,20230304,2023,2023-Q1,2023-03,4,March,3,Saturday,7
3/5/2023,20230305,2023,2023-Q1,2023-03,5,March,3,Sunday,1
3/6/2023,20230306,2023,2023-Q1,2023-03,6,March,3,Monday,2
3/7/2023,20230307,2023,2023-Q1,2023-03,7,March,3,Tuesday,3
3/8/2023,20230308,2023,2023-Q1,2023-03,8,March,3,Wednesday,4
3/9/2023,20230309,2023,2023-Q1,2023-03,9,March,3,Thursday,5
3/10/2023,20230310,2023,2023-Q1,2023-03,10,March,3,Friday,6
3/11/2023,20230311,2023,2023-Q1,2023-03,11,March,3,Saturday,7
3/12/2023,20230312,2023,2023-Q1,2023-03,12,March,3,Sunday,1
